employee_id,nome,role,ruolo,reparto_id,reparto_label,ore_dovute_mese_h,saldo_prog_iniziale_h,max_month_hours_h,max_week_hours_h,can_work_night,max_nights_week,max_nights_month,max_consecutive_nights,saturday_count_ytd,sunday_count_ytd,holiday_count_ytd,rest11h_max_monthly_exceptions,rest11h_max_consecutive_exceptions,pool_id,cross_max_shifts_month
470,Nome-470 Cognome-470,IP,IP,REP5,,150.00,37.50,,,,,,,,,,,,,
492,Nome-492 Cognome-492,FIS.,FIS.,RIA,,150.00,32.50,,,,,,,,,,,,,
636,Nome-636 Cognome-636,IP,IP,REP0,,150.00,2.50,,,,,,,,,,,,,
754,Nome-754 Cognome-754,MEDSP,MEDSP,MED,,158.25,-9.72,,,,,,,,,,,,,
772,Nome-772 Cognome-772,000,000,RIA,,150.00,0.00,,,,,,,,,,,,,
887,Nome-887 Cognome-887,MEDSP,MEDSP,MED,,120.00,0.00,,,,,,,,,,,,,
1188,Nome-1188 Cognome-1188,MEDSP,MEDSP,MED,,158.25,-19.72,,,,,,,,,,,,,
1298,Nome-1298 Cognome-1298,MEDSP,MEDSP,MED,,158.25,-29.53,,,,,,,,,,,,,
1340,Nome-1340 Cognome-1340,MEDSP,MEDSP,MED,,150.00,0.00,,,,,,,,,,,,,
1354,Nome-1354 Cognome-1354,MEDGU,MEDGU,MEDG,,150.00,0.00,,,,,,,,,,,,,
1680,Nome-1680 Cognome-1680,MEDSP,MEDSP,MED,,158.25,-11.37,,,,,,,,,,,,,
1681,Nome-1681 Cognome-1681,MEDSP,MEDSP,MED,,158.25,-22.15,,,,,,,,,,,,,
1735,Nome-1735 Cognome-1735,MEDSP,MEDSP,MED,,152.00,0.00,,,,,,,,,,,,,
1987,Nome-1987 Cognome-1987,MEDSP,MEDSP,MED,,158.25,131.10,,,,,,,,,,,,,
1988,Nome-1988 Cognome-1988,MEDSP,MEDSP,MED,,120.00,0.00,,,,,,,,,,,,,
2497,Nome-2497 Cognome-2497,NEURO,NEURO,RIA,,158.25,-0.57,,,,,,,,,,,,,
5591,Nome-5591 Cognome-5591,CS,CS,REP3,,150.00,79.50,,,,,,,,,,,,,
5643,Nome-5643 Cognome-5643,FIS.,FIS.,RIA,,150.00,16.50,,,,,,,,,,,,,
5890,Nome-5890 Cognome-5890,FIS.,FIS.,RIA,,150.00,28.60,,,,,,,,,,,,,
5950,Nome-5950 Cognome-5950,FIS.,FIS.,RIA,,150.00,-6.50,,,,,,,,,,,,,
6000,Nome-6000 Cognome-6000,IP,IP,REP5,,150.00,10.50,,,,,,,,,,,,,
6191,Nome-6191 Cognome-6191,FIS.,FIS.,RIA,,150.00,-12.60,,,,,,,,,,,,,
6207,Nome-6207 Cognome-6207,FIS.,FIS.,RIA,,150.00,12.00,,,,,,,,,,,,,
6214,Nome-6214 Cognome-6214,TEROC,TEROC,RIA,,150.00,7.50,,,,,,,,,,,,,
6343,Nome-6343 Cognome-6343,FIS.,FIS.,RIA,,150.00,-1.00,,,,,,,,,,,,,
6355,Nome-6355 Cognome-6355,FIS.,FIS.,RIA,,150.00,50.00,,,,,,,,,,,,,
6385,Nome-6385 Cognome-6385,FIS.,FIS.,RIA,,150.00,56.00,,,,,,,,,,,,,
6391,Nome-6391 Cognome-6391,TEROC,TEROC,RIA,,150.00,28.50,,,,,,,,,,,,,
6500,Nome-6500 Cognome-6500,IP,IP,REP5,,150.00,-27.00,,,,,,,,,,,,,
6507,Nome-6507 Cognome-6507,FIS.,FIS.,RIA,,150.00,43.50,,,,,,,,,,,,,
6621,Nome-6621 Cognome-6621,FIS.,FIS.,RIA,,150.00,-30.50,,,,,,,,,,,,,
6642,Nome-6642 Cognome-6642,IP,IP,REP5,,150.00,-18.73,,,,,,,,,,,,,
6699,Nome-6699 Cognome-6699,FIS.,FIS.,RIA,,150.00,4.50,,,,,,,,,,,,,
6719,Nome-6719 Cognome-6719,LOGO,LOGO,RIA,,150.00,-18.98,,,,,,,,,,,,,
